1,Aaliyah,Cleary,30/10/1958,F,Premium,arcleary@teleworm.us ,126,Armagh Street,Panmure
2,Aaron,Quinn,23/06/1982,M,Premium,aaronquinn@hotmail.com,56,Thuja Street,Otahuhu
3,Alexander,Bray,6/08/1965,M,Premium,alexbray00@gmail.com,99,Springleigh Avenue,Dannemora
4,Cass,Roberts,3/12/1983,F,Free,cassroberts@armyspy.com,40,Wymer Terrace,Dannemora
5,Celia,Lincoln,10/05/1973,F,Free,cecelincoln@gmail.com,70,Line Road,Highbrook
6,Donovan,Moon,19/10/2010,M,Child,moon.d@hushmail.com,80,Turitea Place,Otahuhu
7,Edwina,Steele,25/05/1991,F,Premium,edwinasteele@gmail.com,168,Havelock Street,Botany Downs
8,Ginny,Waterman,24/04/2002,F,Free,g.waterman@hotmail.com,440,Jubilee Street,Howick
9,Hasna,Shine,16/04/1979,F,Free,hasna445@gmail.com,2/153,Gibbs Lane,Highbrook
10,Hinemoa,Wolfe,24/11/1985,F,Free,hine.wolfe@hushmail.com,50,Hamlin Place,Botany Downs
11,Howie,Gibbs,3/09/1972,M,Free,hgibbs102@gmail.com,13/99,McClintock Road,Highbrook
12,Ioab,McDonald,11/03/1981,M,Premium,amcdonald@jourrapide.com,85,Chambers Street,Botany Downs
13,Maegan,Bates,27/02/1970,F,Premium,kittenqueen11@gmail.com,62,Lisburn Avenue,Botany Downs
14,Malcom,Wells,12/11/1983,M,Free,malwells@yahoo.co.nz,235,Malin Place,Dannemora
15,Parker,Wakefield,3/08/1992,M,Free,wakefieldfams@gmail.com,292,Smart Terrace,Panmure
16,Rachael,Morris,25/04/1966,F,Free,r.morris19@gmail.com,173D,Amophia Street,Botany Downs
17,Tilda,Jeffery,15/04/1969,F,Free,tildaandadam@yahoo.com,174,Matipo Place,Howick
18,Warren,Kelly,19/12/1992,M,Free,warrenk@armyspy.com,172,McCallum Street,Howick
19,Zahia,Burke,4/08/1998,F,Free,zzbu@gmail.com,74,Thomson Street,Highbrook
20,Zhihao,Yu,14/02/2007,F,Child,zhihoa2007@yahoo.com,153B,Nelson Street,Botany Downs
